UnitID,ProjectID,BuildingID,LevelID,ZoneID,UnitCode,UnitName,UnitCategory,UnitType,PlannedQuantity,QuantityUOM,PlannedStartDate,PlannedFinishDate,CurrentStatusID,IsCritical
UNT-01588,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-02,02-06-02-039,Room Package 039,Room Package,Type C,8,SET,2025-10-15,2025-12-05,STS-002,FALSE
UNT-01589,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-02,02-06-02-040,Room Package 040,Room Package,Type A,1,M2,2025-06-27,2025-09-28,STS-002,FALSE
UNT-01590,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-02,02-06-02-041,Room Package 041,Room Package,Type D,3,M2,2025-02-03,2025-03-16,STS-002,FALSE
UNT-01591,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-02,02-06-02-042,Service Module 042,Service Module,Type A,3,M2,2025-05-03,2025-06-05,STS-005,FALSE
UNT-01592,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-02,02-06-02-043,Plant Item 043,Plant Item,Type A,10,EA,2026-01-30,2026-05-16,STS-003,FALSE
UNT-01593,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-02,02-06-02-044,Service Module 044,Service Module,Type A,11,EA,2026-02-12,2026-04-05,STS-003,FALSE
UNT-01594,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-02,02-06-02-045,Utility Rack 045,Utility Rack,Type D,8,SET,2025-03-25,2025-05-28,STS-003,FALSE
UNT-01595,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-001,Facade Panel 001,Facade Panel,Type C,17,EA,2025-05-08,2025-07-20,STS-006,FALSE
UNT-01596,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-002,Plant Item 002,Plant Item,Type B,2,EA,2025-03-26,2025-05-24,STS-005,FALSE
UNT-01597,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-003,Utility Rack 003,Utility Rack,Type C,1,EA,2026-05-07,2026-06-12,STS-003,FALSE
UNT-01598,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-004,Plant Item 004,Plant Item,Type C,7,EA,2025-06-09,2025-08-19,STS-005,FALSE
UNT-01599,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-005,Service Module 005,Service Module,Type C,12,SET,2025-08-17,2025-09-11,STS-006,FALSE
UNT-01600,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-006,Room Package 006,Room Package,Type D,10,EA,2026-04-07,2026-06-13,STS-006,FALSE
UNT-01601,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-007,Facade Panel 007,Facade Panel,Type A,20,SET,2025-12-21,2026-01-29,STS-008,FALSE
UNT-01602,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-008,Apartment 008,Apartment,Type C,5,M2,2026-02-25,2026-04-22,STS-004,FALSE
UNT-01603,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-009,Utility Rack 009,Utility Rack,Type C,4,M2,2025-09-19,2025-12-26,STS-005,FALSE
UNT-01604,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-010,Service Module 010,Service Module,Type D,7,M2,2025-10-17,2025-11-17,STS-006,TRUE
UNT-01605,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-011,Plant Item 011,Plant Item,Type C,10,M2,2025-03-21,2025-04-09,STS-005,TRUE
UNT-01606,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-012,Room Package 012,Room Package,Type B,1,EA,2025-06-10,2025-06-29,STS-002,FALSE
UNT-01607,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-013,Facade Panel 013,Facade Panel,Type D,5,M2,2025-04-18,2025-06-09,STS-005,FALSE
UNT-01608,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-014,Apartment 014,Apartment,Type D,5,SET,2026-03-31,2026-05-29,STS-004,FALSE
UNT-01609,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-015,Service Module 015,Service Module,Type C,6,EA,2025-02-25,2025-06-12,STS-006,FALSE
UNT-01610,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-016,Plant Item 016,Plant Item,Type D,2,M2,2026-05-06,2026-06-18,STS-009,FALSE
UNT-01611,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-017,Room Package 017,Room Package,Type A,5,EA,2025-09-19,2025-10-29,STS-006,FALSE
UNT-01612,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-018,Apartment 018,Apartment,Type C,1,M2,2025-07-18,2025-08-06,STS-003,FALSE
UNT-01613,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-019,Facade Panel 019,Facade Panel,Type B,11,SET,2025-11-09,2026-03-07,STS-006,FALSE
UNT-01614,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-020,Utility Rack 020,Utility Rack,Type A,11,M2,2025-02-12,2025-04-09,STS-005,FALSE
UNT-01615,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-021,Plant Item 021,Plant Item,Type C,12,EA,2025-11-16,2026-02-09,STS-003,FALSE
UNT-01616,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-022,Room Package 022,Room Package,Type A,4,EA,2025-05-15,2025-07-29,STS-003,FALSE
UNT-01617,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-023,Apartment 023,Apartment,Type C,4,SET,2026-02-04,2026-04-04,STS-004,FALSE
UNT-01618,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-024,Apartment 024,Apartment,Type C,7,EA,2025-07-19,2025-09-07,STS-004,TRUE
UNT-01619,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-025,Room Package 025,Room Package,Type A,10,EA,2025-02-01,2025-03-25,STS-001,FALSE
UNT-01620,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-026,Plant Item 026,Plant Item,Type A,7,SET,2026-05-20,2026-08-30,STS-008,FALSE
UNT-01621,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-027,Service Module 027,Service Module,Type A,2,SET,2025-12-09,2026-03-12,STS-005,FALSE
UNT-01622,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-028,Room Package 028,Room Package,Type A,11,SET,2025-12-16,2026-03-15,STS-007,FALSE
UNT-01623,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-029,Service Module 029,Service Module,Type B,10,SET,2026-04-14,2026-05-04,STS-006,TRUE
UNT-01624,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-030,Room Package 030,Room Package,Type C,6,M2,2025-02-10,2025-03-22,STS-004,FALSE
UNT-01625,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-031,Utility Rack 031,Utility Rack,Type D,12,M2,2026-03-05,2026-06-24,STS-004,FALSE
UNT-01626,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-032,Apartment 032,Apartment,Type D,9,M2,2025-05-18,2025-06-09,STS-004,FALSE
UNT-01627,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-033,Room Package 033,Room Package,Type C,11,EA,2026-02-08,2026-03-27,STS-005,FALSE
UNT-01628,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-034,Utility Rack 034,Utility Rack,Type B,6,M2,2025-12-31,2026-01-18,STS-002,FALSE
UNT-01629,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-035,Apartment 035,Apartment,Type B,5,EA,2025-12-16,2026-03-25,STS-006,TRUE
UNT-01630,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-036,Apartment 036,Apartment,Type D,7,SET,2025-06-09,2025-10-04,STS-003,TRUE
UNT-01631,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-037,Plant Item 037,Plant Item,Type C,3,SET,2025-07-13,2025-09-04,STS-003,FALSE
UNT-01632,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-038,Utility Rack 038,Utility Rack,Type B,7,EA,2025-12-31,2026-04-19,STS-007,FALSE
UNT-01633,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-039,Facade Panel 039,Facade Panel,Type C,15,EA,2026-03-25,2026-05-18,STS-001,FALSE
UNT-01634,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-040,Service Module 040,Service Module,Type C,7,SET,2025-08-19,2025-12-10,STS-005,FALSE
UNT-01635,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-041,Room Package 041,Room Package,Type D,9,M2,2025-07-01,2025-08-24,STS-004,FALSE
UNT-01636,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-042,Plant Item 042,Plant Item,Type B,7,SET,2025-09-06,2025-11-18,STS-001,FALSE
UNT-01637,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-043,Facade Panel 043,Facade Panel,Type C,8,M2,2026-06-19,2026-08-29,STS-007,TRUE
UNT-01638,PRJ-001,BLD-001-02,LVL-001-02-06,ZON-001-02-06-03,02-06-03-044,Plant Item 044,Plant Item,Type A,8,SET,2025-07-16,2025-08-08,STS-008,FALSE
UNT-01639,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-001,Utility Rack 001,Utility Rack,Type B,11,EA,2025-05-29,2025-08-31,STS-004,FALSE
UNT-01640,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-002,Plant Item 002,Plant Item,Type C,11,SET,2025-01-29,2025-02-16,STS-003,FALSE
UNT-01641,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-003,Facade Panel 003,Facade Panel,Type C,16,M2,2025-05-08,2025-06-18,STS-007,FALSE
UNT-01642,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-004,Utility Rack 004,Utility Rack,Type B,9,EA,2025-11-14,2026-03-11,STS-002,FALSE
UNT-01643,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-005,Utility Rack 005,Utility Rack,Type A,10,SET,2025-01-25,2025-05-19,STS-008,FALSE
UNT-01644,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-006,Room Package 006,Room Package,Type B,5,M2,2025-12-22,2026-01-11,STS-006,FALSE
UNT-01645,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-007,Apartment 007,Apartment,Type B,12,EA,2025-02-05,2025-04-18,STS-005,FALSE
UNT-01646,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-008,Apartment 008,Apartment,Type C,4,SET,2025-09-30,2025-12-09,STS-001,TRUE
UNT-01647,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-009,Facade Panel 009,Facade Panel,Type A,9,SET,2025-12-25,2026-02-19,STS-003,TRUE
UNT-01648,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-010,Plant Item 010,Plant Item,Type C,1,EA,2025-04-02,2025-06-18,STS-001,FALSE
UNT-01649,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-011,Service Module 011,Service Module,Type D,6,EA,2026-03-03,2026-06-23,STS-002,TRUE
UNT-01650,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-012,Facade Panel 012,Facade Panel,Type D,20,EA,2025-10-09,2025-11-12,STS-004,TRUE
UNT-01651,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-013,Plant Item 013,Plant Item,Type D,10,M2,2025-09-14,2025-12-18,STS-005,FALSE
UNT-01652,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-014,Plant Item 014,Plant Item,Type A,11,SET,2025-07-06,2025-09-07,STS-003,FALSE
UNT-01653,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-015,Room Package 015,Room Package,Type C,6,SET,2025-04-24,2025-07-15,STS-005,FALSE
UNT-01654,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-016,Plant Item 016,Plant Item,Type A,5,EA,2025-01-25,2025-02-17,STS-007,FALSE
UNT-01655,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-017,Plant Item 017,Plant Item,Type C,9,EA,2025-04-23,2025-07-25,STS-003,TRUE
UNT-01656,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-018,Service Module 018,Service Module,Type C,11,SET,2026-01-03,2026-02-09,STS-001,FALSE
UNT-01657,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-019,Room Package 019,Room Package,Type B,11,EA,2025-12-22,2026-03-28,STS-006,FALSE
UNT-01658,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-020,Plant Item 020,Plant Item,Type C,11,SET,2025-06-18,2025-08-14,STS-004,FALSE
UNT-01659,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-021,Service Module 021,Service Module,Type C,1,EA,2026-01-27,2026-03-31,STS-005,FALSE
UNT-01660,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-022,Room Package 022,Room Package,Type D,8,M2,2025-09-04,2025-12-29,STS-001,FALSE
UNT-01661,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-023,Facade Panel 023,Facade Panel,Type C,19,M2,2026-02-12,2026-06-08,STS-004,FALSE
UNT-01662,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-024,Facade Panel 024,Facade Panel,Type A,10,SET,2025-12-10,2026-02-21,STS-009,TRUE
UNT-01663,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-025,Utility Rack 025,Utility Rack,Type A,11,SET,2026-05-17,2026-07-01,STS-008,FALSE
UNT-01664,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-026,Room Package 026,Room Package,Type A,9,SET,2026-01-16,2026-03-12,STS-008,FALSE
UNT-01665,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-027,Utility Rack 027,Utility Rack,Type D,3,M2,2026-01-13,2026-04-03,STS-006,TRUE
UNT-01666,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-028,Service Module 028,Service Module,Type B,3,SET,2025-05-07,2025-06-09,STS-009,FALSE
UNT-01667,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-029,Service Module 029,Service Module,Type A,10,SET,2025-06-24,2025-08-14,STS-003,FALSE
UNT-01668,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-030,Service Module 030,Service Module,Type B,2,SET,2025-05-03,2025-06-23,STS-001,FALSE
UNT-01669,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-031,Facade Panel 031,Facade Panel,Type B,14,EA,2026-06-03,2026-07-11,STS-004,FALSE
UNT-01670,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-032,Plant Item 032,Plant Item,Type A,9,EA,2025-11-23,2025-12-20,STS-004,FALSE
UNT-01671,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-033,Room Package 033,Room Package,Type B,3,SET,2025-01-26,2025-05-24,STS-001,FALSE
UNT-01672,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-034,Apartment 034,Apartment,Type D,9,EA,2025-09-16,2025-10-24,STS-006,FALSE
UNT-01673,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-035,Facade Panel 035,Facade Panel,Type A,18,EA,2026-06-02,2026-07-10,STS-005,FALSE
UNT-01674,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-036,Facade Panel 036,Facade Panel,Type D,5,SET,2025-08-28,2025-11-01,STS-004,FALSE
UNT-01675,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-037,Apartment 037,Apartment,Type A,2,EA,2025-03-24,2025-06-01,STS-003,TRUE
UNT-01676,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-038,Service Module 038,Service Module,Type B,7,EA,2025-07-22,2025-08-24,STS-006,FALSE
UNT-01677,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-039,Utility Rack 039,Utility Rack,Type C,7,EA,2025-11-21,2026-01-30,STS-008,FALSE
UNT-01678,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-040,Utility Rack 040,Utility Rack,Type C,8,SET,2025-12-27,2026-02-07,STS-004,FALSE
UNT-01679,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-041,Utility Rack 041,Utility Rack,Type B,7,EA,2025-11-03,2026-02-24,STS-003,FALSE
UNT-01680,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-01,02-07-01-042,Utility Rack 042,Utility Rack,Type D,10,M2,2025-05-29,2025-09-06,STS-001,FALSE
UNT-01681,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-001,Room Package 001,Room Package,Type D,9,M2,2025-05-01,2025-05-19,STS-003,FALSE
UNT-01682,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-002,Plant Item 002,Plant Item,Type D,3,SET,2026-06-24,2026-08-28,STS-005,FALSE
UNT-01683,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-003,Facade Panel 003,Facade Panel,Type D,11,SET,2025-04-07,2025-08-04,STS-001,TRUE
UNT-01684,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-004,Facade Panel 004,Facade Panel,Type D,15,SET,2025-10-28,2025-12-05,STS-004,FALSE
UNT-01685,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-005,Apartment 005,Apartment,Type D,5,M2,2026-04-02,2026-06-09,STS-008,TRUE
UNT-01686,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-006,Facade Panel 006,Facade Panel,Type D,14,SET,2026-02-07,2026-04-02,STS-001,FALSE
UNT-01687,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-007,Room Package 007,Room Package,Type D,6,EA,2025-05-12,2025-08-11,STS-003,FALSE
UNT-01688,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-008,Service Module 008,Service Module,Type D,10,M2,2025-05-31,2025-07-14,STS-007,FALSE
UNT-01689,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-009,Plant Item 009,Plant Item,Type C,4,EA,2025-03-29,2025-07-11,STS-004,TRUE
UNT-01690,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-010,Facade Panel 010,Facade Panel,Type B,16,EA,2026-02-14,2026-03-06,STS-002,FALSE
UNT-01691,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-011,Plant Item 011,Plant Item,Type B,5,SET,2025-01-24,2025-04-19,STS-002,FALSE
UNT-01692,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-012,Utility Rack 012,Utility Rack,Type C,6,EA,2025-06-28,2025-08-16,STS-001,FALSE
UNT-01693,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-013,Facade Panel 013,Facade Panel,Type B,5,M2,2025-11-11,2026-01-02,STS-002,TRUE
UNT-01694,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-014,Service Module 014,Service Module,Type B,8,SET,2025-11-27,2026-02-05,STS-001,FALSE
UNT-01695,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-015,Room Package 015,Room Package,Type C,4,SET,2025-08-13,2025-11-24,STS-001,TRUE
UNT-01696,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-016,Utility Rack 016,Utility Rack,Type C,6,M2,2025-03-15,2025-05-18,STS-002,FALSE
UNT-01697,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-017,Utility Rack 017,Utility Rack,Type A,6,SET,2025-05-15,2025-06-06,STS-001,FALSE
UNT-01698,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-018,Room Package 018,Room Package,Type C,1,SET,2025-07-26,2025-11-13,STS-001,FALSE
UNT-01699,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-019,Apartment 019,Apartment,Type B,9,SET,2026-05-30,2026-06-22,STS-004,FALSE
UNT-01700,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-020,Apartment 020,Apartment,Type D,12,M2,2025-05-13,2025-05-28,STS-008,TRUE
UNT-01701,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-021,Plant Item 021,Plant Item,Type C,12,M2,2025-05-17,2025-09-09,STS-008,FALSE
UNT-01702,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-022,Plant Item 022,Plant Item,Type B,4,SET,2025-03-30,2025-04-18,STS-002,TRUE
UNT-01703,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-023,Plant Item 023,Plant Item,Type D,4,M2,2025-05-17,2025-07-13,STS-002,FALSE
UNT-01704,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-024,Room Package 024,Room Package,Type A,1,M2,2025-05-11,2025-08-28,STS-007,FALSE
UNT-01705,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-025,Plant Item 025,Plant Item,Type D,9,EA,2025-12-24,2026-01-23,STS-007,FALSE
UNT-01706,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-026,Plant Item 026,Plant Item,Type D,10,SET,2026-02-13,2026-04-11,STS-005,FALSE
UNT-01707,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-027,Service Module 027,Service Module,Type A,3,SET,2025-10-25,2025-11-13,STS-007,TRUE
UNT-01708,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-028,Utility Rack 028,Utility Rack,Type A,3,EA,2025-10-25,2026-01-29,STS-001,FALSE
UNT-01709,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-029,Facade Panel 029,Facade Panel,Type A,17,M2,2026-07-04,2026-10-07,STS-007,FALSE
UNT-01710,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-030,Apartment 030,Apartment,Type C,12,EA,2026-04-23,2026-08-17,STS-001,FALSE
UNT-01711,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-031,Apartment 031,Apartment,Type B,2,M2,2025-03-15,2025-03-31,STS-004,FALSE
UNT-01712,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-032,Room Package 032,Room Package,Type B,12,SET,2025-09-21,2026-01-02,STS-006,TRUE
UNT-01713,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-033,Utility Rack 033,Utility Rack,Type C,2,SET,2025-08-14,2025-09-25,STS-003,FALSE
UNT-01714,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-034,Room Package 034,Room Package,Type A,6,M2,2025-08-23,2025-09-15,STS-009,FALSE
UNT-01715,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-035,Facade Panel 035,Facade Panel,Type A,7,M2,2025-04-12,2025-07-29,STS-002,FALSE
UNT-01716,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-036,Apartment 036,Apartment,Type D,5,SET,2026-05-26,2026-07-16,STS-005,TRUE
UNT-01717,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-037,Room Package 037,Room Package,Type A,12,SET,2025-06-17,2025-09-01,STS-005,FALSE
UNT-01718,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-038,Service Module 038,Service Module,Type B,1,M2,2025-11-14,2026-02-17,STS-001,FALSE
UNT-01719,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-039,Plant Item 039,Plant Item,Type D,3,M2,2025-05-16,2025-07-14,STS-006,FALSE
UNT-01720,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-040,Apartment 040,Apartment,Type B,9,EA,2025-03-14,2025-05-06,STS-001,TRUE
UNT-01721,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-041,Service Module 041,Service Module,Type C,12,SET,2025-07-14,2025-08-09,STS-003,FALSE
UNT-01722,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-042,Utility Rack 042,Utility Rack,Type B,9,EA,2025-08-11,2025-09-08,STS-004,FALSE
UNT-01723,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-043,Facade Panel 043,Facade Panel,Type D,7,EA,2026-05-26,2026-06-25,STS-001,FALSE
UNT-01724,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-044,Service Module 044,Service Module,Type B,12,SET,2025-10-05,2025-12-05,STS-003,FALSE
UNT-01725,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-045,Room Package 045,Room Package,Type B,7,EA,2025-02-16,2025-05-31,STS-003,FALSE
UNT-01726,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-046,Service Module 046,Service Module,Type D,11,M2,2025-11-07,2025-12-28,STS-006,FALSE
UNT-01727,PRJ-001,BLD-001-02,LVL-001-02-07,ZON-001-02-07-02,02-07-02-047,Apartment 047,Apartment,Type B,7,SET,2026-06-23,2026-10-14,STS-004,FALSE
